professor_nome,ano,titulo
ANA RAFAELA LUZ DE AQUINO MARTINS,2021,"EFICÁCIA DA FOTOBIOMODULAÇÃO DO LASER DE BAIXA POTÊNCIA NA CICATRIZAÇÃO TECIDUAL E DOR PÓS-OPERATÓRIA APÓS CIRURGIA DE AUMENTO DE COROA CLÍNICA EM ÁREA ESTÉTICA: ENSAIO CLÍNICO, TRIPLO-CEGO E RANDOMIZADO"
ANA RAFAELA LUZ DE AQUINO MARTINS,2020,ESTUDO COMPARATIVO ENTRE DOIS MÉTODOS DE APLICAÇÃO DO LASER DE BAIXA POTÊNCIA NA TERAPIA FOTODINÂMICA ANTIMICROBIANA COMO COADJUVANTE AO TRATAMENTO PERIODONTAL NÃO-CIRÚRGICO
ANA RAFAELA LUZ DE AQUINO MARTINS,2020,Eficácia da irradiação do sangue intravascular com laser de baixa intensidade nos parâmetros microbiológicos e salivares em pacientes com periodontite e portadores de diabetes mellitus tipo 2.
ANA RAFAELA LUZ DE AQUINO MARTINS,2019,AVALIAÇÃO DA ATIVIDADE ANTIMICROBIANA E IMUNOMODULADORA DO PROBIÓTICO LACTOBACILLUS RHAMNOSUS EM MODELO EXPERIMENTAL DE PERIODONTITE INDUZIDA EM RATOS DIABÉTICOS TRATADOS COM METFORMINA
ANA RAFAELA LUZ DE AQUINO MARTINS,2018,ESTUDO COMPARATIVO ENTRE OS FOTOSSENSIBILIZANTES AZUL DE METILENO E FTALOCIANINA CLORO-ALUMÍNIO UTILIZADOS NA TERAPIA FOTODINÂMICA NO TRATAMENTO DE PACIENTES COM PERIODONTITE CRÔNICA
ANA RAFAELA LUZ DE AQUINO MARTINS,2016,EFEITO DA TERAPIA FOTODINÂMICA COMO COADJUVANTE AO TRATAMENTO PERIODONTAL BÁSICO
ANA RAFAELA LUZ DE AQUINO MARTINS,2016,EFEITO DA TERAPIA FOTODINÂMICA COMO TERAPIA COMPLEMENTAR NOS PARÂMETROS CLÍNICOS DE BOLSAS PERIODONTAIS RESIDUAIS DE PACIENTES EM MANUTENÇÃO PERIODONTAL
ANA RAFAELA LUZ DE AQUINO MARTINS,2015,IMPACTO DA RADIOTERAPIA EM REGIÃO DE CABEÇA E PESCOÇO SOBRE A CONDIÇÃO PERIODONTAL E DE HIGIENE BUCAL
ANA RAFAELA LUZ DE AQUINO MARTINS,2014,CONDIÇÃO DE SAÚDE BUCAL DE PACIENTES INTERNADOS NO HOSPITAL UNIVERSITÁRIO ONOFRE LOPES EM NATAL/RN
ANDRE LUIS DORINI,2016,AVALIAÇÃO DA RESISTENCIA ADESIVA AO ESMALTE DE DENTES IRRADIADOS E DESIDRATADOS
ANDRE LUIS DORINI,2015,"AVALIAÇÃO DO MANCHAMENTO COM CAFÉ E VINHO TINTO EM DIFERENTES RESINAS COMPOSTAS, UTILIZANDO UM MÉTODO ESPECTROFOTOMÉTRICO"
ANDRE LUIS DORINI,2014,Influencia do condicionamento com ácido poliacrilico na Microdureza e Solubilidade do cimento de hidróxido de cálcio.
ANDRE LUIZ MARINHO FALCAO GONDIM,2023,MANUAL DE NUTRIÇAO E PÓS OPERATORIO EM BUCO MAXILO FACIAL
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2023,Organização e Acesso aos Cuidados em Saúde Bucal na Atenção Básica: análise a partir de Unidades Odontológicas Móveis (UOM)
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2023,ANÁLISE DE TENDÊNCIA TEMPORAL DAS CONDIÇÕES DE SAÚDE BUCAL DA POPULAÇÃO BRASILEIRA: AVALIAÇÃO DA CÁRIE DENTÁRIA E EDENTULISMO ENTRE OS ANOS DE 2003 E 2022
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2020,Prevalência de infecção por COVID-19 no Rio Grande do Norte: inquérito sorológico de base populacional
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2020,Prevalência de infecção por COVID-19 no Rio Grande do Norte: inquérito sorológico de base populacional
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2020,Fatores associados à implementação de políticas e programas de saúde bucal no contexto global
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2019,Análise dos fatores de risco relacionados à dor no joelho em escolares do município de Natal/RN
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2018,Impacto dos determinantes sociais na organização dos serviços de Atenção à Saúde Bucal: uma análise a partir do Programa Nacional de Melhoria do Acesso e da Qualidade (PMAQ- CEO)
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2016,Efeito da fluoretação das águas de abastecimento sobre a cárie dentária em crianças no Brasil
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2014,FREQUÊNCIA E FATORES DE RISCO DO NEAR MISS MATERNO EM UMA MATERNIDADE DE REFERÊNCIA EM GRAVIDEZ DE ALTO RISCO EM NATAL/RIO GRANDE DO NORTE.
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2012,"Prevalência e fatores associados da Morbidade Materna Grave  Near Miss  em Natal, RN"
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2012,Contribuições dos Serviços de Atenção à Saúde Bucal sobre a tendência de declínio da cárie dentária em capitais brasileiras no período de 2003 a 2010
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2011,Morbidade bucal na primeira década do Século XXI no Brasil: tendências e fatores condicionantes
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2011,"Comportamento e prevalência de HIV, sífilis e Hepatite B entre homens que fazem sexo com homens nos municípios de Natal e Parnamirim, Rio Grande do Norte, Brasil"
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2010,Morbidade bucal na primeira década do Século XXI no Brasil: tendências e fatores condicionantes
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2009,Centro Colaborador do Ministério da Saúde na área da Vigilância à Saúde Bucal: avaliação da produção de informações em saúde bucal nos municípios brasileiros.
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2009,Saúde Bucal na Estratégia Saúde da Família: avaliação longitudinal do impacto sobre indicadores e sua relação com as estratégias de implantação
ANGELO GIUSEPPE RONCALLI DA COSTA OLIVEIRA,2008,Impacto da Saúde Bucal no PSF sobre indicadores de Saúde Bucal: análise em municípios do Nordeste
ANTONIO DE LISBOA LOPES COSTA,2025,PERFIL CLÍNICO E MORFOLÓGICO DE LESÕES NEURAIS EM CAVIDADE ORAL: ESTUDO RETROSPECTIVO DE 53 ANOS
ANTONIO DE LISBOA LOPES COSTA,2024,IMUNOEXPRESSÃO DE GALECTINAS E BAX EM LÍQUEN PLANO ORAL
ANTONIO DE LISBOA LOPES COSTA,2022,OSTEOMIELITES DOS MAXILARES: ESTUDO CLINICOPATOLÓGICO
ANTONIO DE LISBOA LOPES COSTA,2021,Avaliação da atividade antitumoral do S-(-)-álcool perílico sobre o carcinoma epidermóide de língua
ANTONIO DE LISBOA LOPES COSTA,2020,EXPRESSÃO IMUNO-HISTOQUÍMICA DA p53 EM LIQUEN PLANO DA MUCOSA ORAL
ANTONIO DE LISBOA LOPES COSTA,2018,ESTUDO DA IMUNOEXPRESSÃO DE CLIC4 E DA PRESENÇA DE FIBROBLASTOS ASSOCIADOS AO CÂNCER (α-SMA) EM CARCINOMA DE CÉLULAS ESCAMOSAS ORAL E CARCINOMA VERRUCOSO ORAL
ANTONIO DE LISBOA LOPES COSTA,2017,DESIGUALDADE SOCIAL E MORTALIDADE POR CÂNCER BUCAL NO RIO GRANDE DO NORTE: UMA ANÁLISE ESPACIAL
ANTONIO DE LISBOA LOPES COSTA,2017,"CÂNCER DE BOCA NA ATENÇÃO BÁSICA: PERCEPÇÃO DOS CIRURGIÕES-DENTISTAS, INTEGRANTES DAS EQUIPES DE SAÚDE BUCAL, NO MUNICÍPIO DE NATAL-RN."
ANTONIO DE LISBOA LOPES COSTA,2016,TRATAMENTO ODONTOLÓGICO EM PACIENTES COM CÂNCER ORAL: UMA REVISÃO SISTEMÁTICA
ANTONIO DE LISBOA LOPES COSTA,2015,"DIAGNÓSTICO DIFERENCIAL DAS LESÕES ORAIS PIGMENTADAS: MÁCULA MELANÓTICA, NEVO MELANOCÍTICO E MELANOMA"
ANTONIO DE LISBOA LOPES COSTA,2014,ESTUDO DE CORRELAÇÃO ENTRE O DIAGNÓSTICO CLÍNICO E HISTOPATOLÓGICO DOS CISTOS ODONTOGÊNICOS
ANTONIO DE LISBOA LOPES COSTA,2014,EFEITOS CLÍNICOS E ANÁLISE IMUNOHISTOQUÍMICA APÓS TERAPIA FOTODINÂMICA COM ALUMÍNIO-CLORO FTALOCIANINA EM TECIDOS GENGIVAIS DE HUMANOS
ANTONIO DE LISBOA LOPES COSTA,2013,AVALIAÇÃO DA ANGIOGÊNESE NO LÍQUEN PLANO ORAL E PÊNFIGO VULGAR.
ANTONIO DE LISBOA LOPES COSTA,2011,EXPRESSÃO IMUNO-HISTOQUÍMICA DAS PROTEÍNAS VEGF E FVW EM CISTOS RADICULARES E CISTOS DENTÍGEROS
ANTONIO DE LISBOA LOPES COSTA,2010,EXPRESSÃO IMUNO-HISTOQUÍMICA DO TNF-α NA GENGIVITE E PERIODONTITE CRÔNICA EM HUMANOS E SUA CORRELAÇÃO COM OS PARÂMETROS CLÍNICOS PERIODONTAIS
ANTONIO DE LISBOA LOPES COSTA,2010,NEOPLASIAS EPITELIAIS DE GLÂNDULAS SALIVARES: ANÁLISE DE CASOS
ANTONIO DE LISBOA LOPES COSTA,2009,"Expressão imuno-histoquímica de RANK, RANKL e OPG em Cistos radiculares e Cistos dentígeros"
ANTONIO DE LISBOA LOPES COSTA,2008,PROLIFERAÇÃO CELULAR E FATORES DE REABSORÇÃO ÓSSEA EM LESÕES CENTRAIS DE CÉLULAS GIGANTES E LESÕES PERIFÉRICAS DE CÉLULAS GIGANTES
ANTONIO DE LISBOA LOPES COSTA,2008,Câncer de boca e orofaringe: tendências e análise de sobrevida em Natal (1997  2001)
ANTONIO RICARDO CALAZANS DUARTE,2020,ANÁLISE DO CONHECIMENTO DE ODONTOLEGISTAS SOBRE A MARCAÇÃO IDENTIFICADORA DE PRÓTESES DENTÁRIAS
ANTONIO RICARDO CALAZANS DUARTE,2020,Desenvolvimento de formulário específico de prótese dentária a ser utilizado no Sistema SIGSAÚDE
ANTONIO RICARDO CALAZANS DUARTE,2020,Desenvolvimento de um software de triagem odontológica para utilização no SIGSAÙDE - UFRN
ANTONIO RICARDO CALAZANS DUARTE,2016,Avaliação do Conhecimento de Alunos do Último Período de Odontologia no Planejamento e Preparo de Boca na Execução de Prótese Parcial Removivel.
ANTONIO RICARDO CALAZANS DUARTE,2015,EFEITO DE DOIS DIFERENTES MÉTODOS DE ACABAMENTO E POLIMENTO SOBRE A RUGOSIDADE SUPERFICIAL DE TRÊS MARCAS DE RESINA ACRÍLICA AUTOPOLIMERIZÁVEL
ANTONIO RICARDO CALAZANS DUARTE,2015,Avaliação do Conhecimento de Alunos do Último Período de Odontologia no Planejamento e Preparo de Boca na Execução de Prótese Parcial Removivel.
ANTONIO RICARDO CALAZANS DUARTE,2015,Desajuste Vertical Aceito Entre Abutment e Implante nas Próteses Fixas Implanto-suportadas - UMA REVISÃO SISTEMÁTICA
ANTONIO RICARDO CALAZANS DUARTE,2015,Desajuste vertical aceito em coroas metálicas fundidas dento suportadas: Uma revisão sistemática
ANTONIO RICARDO CALAZANS DUARTE,2015,CONEXÃO PROTÉTICA DENTE-IMPLANTE: EFICÁCIA DO PROCEDIMENTO  REVISÃO SISTEMÁTICA
ARTHUR CESAR DE MEDEIROS ALVES,2025,EFEITOS DA EXPANSÃO RÁPIDA DA MAXILA NO FECHAMENTO DA MORDIDA ABERTA ANTERIOR: UM ENSAIO CLÍNICO RANDOMIZADO
ARTHUR CESAR DE MEDEIROS ALVES,2025,"AVALIAÇÃO RADIOGRÁFICA DO EFEITO DA EXPANSÃO RÁPIDA DA MAXILA NO POSICIONAMENTO DOS INCISIVOS, DA LÍNGUA E DO OSSO HIOIDE DE CRIANÇAS COM E SEM MORDIDA ABERTA ANTERIOR"
ARTHUR CESAR DE MEDEIROS ALVES,2025,Alterações no crescimento craniofacial e no desenvolvimento da dentição de crianças com anemia falciforme: uma revisão de escopo
ARTHUR CESAR DE MEDEIROS ALVES,2024,"Avaliação tomográfica dos espaços interradiculares e da espessura do osso alveolar, da cortical óssea e da mucosa palatina para a instalação dos miniimplantes do C-expander"
ARTHUR CESAR DE MEDEIROS ALVES,2024,Avaliação cefalométrica da posição dos incisivos de pacientes Padrão III com e sem fissuras labiopalatinas com indicação de tratamento ortodôntico-cirúrgico
ARTHUR CESAR DE MEDEIROS ALVES,2022,Fissuras labiopalatinas e grau de severidade das deformidades dentofaciais: um estudo epidemiológico no estado do Rio Grande do Norte
ARTHUR CESAR DE MEDEIROS ALVES,2021,AVALIAÇÃO DA ESPESSURA DO OSSO E DA MUCOSA DO PALATO POR MEIO DA TOMOGRAFIA COMPUTADORIZADA DE FEIXE CÔNICO
ARTHUR CESAR DE MEDEIROS ALVES,2021,Correlação entre os estágios de maturação das vértebras cervicais e da sutura palatina mediana
ARTHUR CESAR DE MEDEIROS ALVES,2019,Impacto da expansão rápida da maxila em diversos aspectos relacionados à qualidade de vida de crianças na fase de dentadura mista
ARTHUR CESAR DE MEDEIROS ALVES,2019,Diagnóstico do posicionamento vestibulolingual de caninos permanentes superiores impactados por meio da avaliação de radiografias panorâmicas
ARTHUR CESAR DE MEDEIROS ALVES,2018,Alterações na largura do sorriso e na área do corredor bucal após a expansão rápida da maxila em crianças na dentadura mista
BONIEK CASTILLO DUTRA BORGES,2025,LEVANTAMENTO DE EVIDÊNCIA CLÍNICA DE TRATAMENTOS RESTAURADORES EM PESSOAS COM DEFICIÊNCIA INTELECTUAL
BONIEK CASTILLO DUTRA BORGES,2025,Avaliação de tipos de resinas compostas e técnicas de acabamento e polimento para aumentar a retenção de brilho em restaurações estéticas
BONIEK CASTILLO DUTRA BORGES,2024,Mapeamento e caracterização de nanoargilas em materiais odontológicos restauradores diretos
BONIEK CASTILLO DUTRA BORGES,2023,Eficácia clínica e níveis de sensibilidade gerados por diferentes géis clareadores de consultório
