ISSN,Título,Estrato
1678-9741,BRAZILIAN JOURNAL OF CARDIOVASCULAR SURGERY (ONLINE),A3
2763-583X,BRAZILIAN JOURNAL OF CASE REPORTS,B4
2965-8837,BRAZILIAN JOURNAL OF DENTISTRY AND ORAL RADIOLOGY (ONLINE),C
2525-8761,BRAZILIAN JOURNAL OF DEVELOPMENT,C
2237-261X,"BRAZILIAN JOURNAL OF FORENSIC SCIENCES, MEDICAL LAW AND BIOETHICS",B2
2674-8207,BRAZILIAN JOURNAL OF HEALTH AND BIOLOGICAL SCIENCE,B4
2965-7253,"BRAZILIAN JOURNAL OF HEALTH, AROMATHERAPY AND ESSENTIAL OIL (ONLINE)",C
2595-6825,BRAZILIAN JOURNAL OF HEALTH REVIEW,C
2674-8169,BRAZILIAN JOURNAL OF IMPLANTOLOGY AND HEALTH SCIENCES,B3
1414-431X,BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,A2
1517-8382,BRAZILIAN JOURNAL OF MICROBIOLOGY,A4
1678-4405,BRAZILIAN JOURNAL OF MICROBIOLOGY (ONLINE),A4
2526-8732,BRAZILIAN JOURNAL OF ONCOLOGY,B3
1677-3217,BRAZILIAN JOURNAL OF ORAL SCIENCES (IMPRESSO),B1
1677-3225,BRAZILIAN JOURNAL OF ORAL SCIENCES (ONLINE),B1
1808-8694,BRAZILIAN JOURNAL OF OTORHINOLARYNGOLOGY (IMPRESSO),A3
1808-8686,BRAZILIAN JOURNAL OF OTORHINOLARYNGOLOGY (ONLINE),A3
2175-9790,BRAZILIAN JOURNAL OF PHARMACEUTICAL SCIENCES (ONLINE),A4
0103-9733,BRAZILIAN JOURNAL OF PHYSICS (IMPRESSO),A3
2319-0612,BRAZILIAN JOURNAL OF RADIATION SCIENCES,A3
2317-4404,BRAZILIAN JOURNAL OF SURGERY AND CLINICAL RESEARCH,B3
2764-1589,BRAZILIAN JOURNAL OF TRANSPLANTATION,B4
2527-2179,BRAZILIAN JOURNAL OF VETERINARY MEDICINE,B2
1413-9596,BRAZILIAN JOURNAL OF VETERINARY RESEARCH AND ANIMAL SCIENCE (PRINT),B2
1807-3107,BRAZILIAN ORAL RESEARCH,A2
1556-8253,BREASTFEEDING MEDICINE,A1
0007-0610,BRITISH DENTAL JOURNAL,A4
0007-0912,BRITISH JOURNAL OF ANAESTHESIA,A1
2231-0843,BRITISH JOURNAL OF APPLIED SCIENCE & TECHNOLOGY,B3
0007-0920,BRITISH JOURNAL OF CANCER,A1
1365-2133,BRITISH JOURNAL OF DERMATOLOGY (ONLINE),A1
0007-0963,BRITISH JOURNAL OF DERMATOLOGY (1951. PRINT),A1
2231-0614,BRITISH JOURNAL OF MEDICINE AND MEDICAL RESEARCH,C
0268-8697,BRITISH JOURNAL OF NEUROSURGERY (PRINT),A4
0007-1145,BRITISH JOURNAL OF NUTRITION,A1
0266-4356,BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY,A2
1476-5381,BRITISH JOURNAL OF PHARMACOLOGY,A1
0007-1285,BRITISH JOURNAL OF RADIOLOGY,A3
0007-1323,BRITISH JOURNAL OF SURGERY (PRINT),A1
2595-3192,BRJP -  BRAZILIAN JOURNAL OF PAIN,B1
2595-0118,BRJP (IMPRESSO),B1
1829-006X,BULLETIN OF STOMATOLOGY AND MAXILLO-FACIAL SURGERY,B4
0007-1595,BULLETIN OF THE BRITISH ORNITHOLOGISTS' CLUB,B3
1846-6273,BULLETIN OF THE INTERNATIONAL ASSOCIATION FOR PALEODONTOLOGY,C
2311-5629,C. JOURNAL OF CARBON RESEARCH,A4
1983-0882,CADERNO PEDAGÓGICO (LAJEADO. ONLINE),C
2448-0916,CADERNOS CAJUÍNA,A3
2316-9907,"CADERNOS DE EDUCAÇÃO, TECNOLOGIA E SOCIEDADE",A3
2764-2550,CADERNOS DE ENSINO E PESQUISA EM SAÚDE,B4
1809-4139,CADERNOS DE PÓS GRADUAÇÃO EM DISTÚRBIOS DO DESENVOLVIMENTO (ONLINE),B2
1414-3925,CADERNOS DE PSICOLOGIA (SBP),B1
0103-9946,CADERNOS DE SAÚDE COLETIVA E NUTRIÇÃO,C
1678-4464,CADERNOS DE SAÚDE PÚBLICA,A1
0102-311X,CADERNOS DE SAÚDE PÚBLICA (ENSP. IMPRESSO),A1
2316-8412,CADERNOS DO LEPAARQ (UFPEL),A2
1809-0893,CADERNOS ESP (ONLINE),B3
2358-291X,CADERNOS SAÚDE COLETIVA,B1
1414-462X,CADERNOS SAÚDE COLETIVA (UFRJ),B1
1982-1816,CADERNOS UNIFOA (ONLINE),B3
0171-967X,CALCIFIED TISSUE INTERNATIONAL,A1
1043-2256,CALIFORNIA DENTAL ASSOCIATION. JOURNAL,B3
0008-350X,CANADIAN FAMILY PHYSICIAN,A3
1925-8348,CANADIAN GERIATRICS JOURNAL,A3
1712-171X,CANADIAN JOURNAL OF DENTAL HYGIENE,A4
0008-4212,CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY (PRINT),A4
0718-2368,CANAL ABIERTO (SANTIAGO),C
1875-8592,CANCER BIOMARKERS,A4
2578-532X,CANCER DRUG RESISTANCE,A2
1877-7821,CANCER EPIDEMIOLOGY (PRINT),A2
0340-7004,CANCER IMMUNOLOGY AND IMMUNOTHERAPY,A2
0735-7907,CANCER INVESTIGATION,B1
2045-7634,CANCER MEDICINE,A2
2573-8348,CANCER REPORTS,B2
