pmid,doi,titulo,revista,ano,autores,abstract
33202356,10.1016/j.archoralbio.2020.104987,DNA base excision repair and nucleotide excision repair proteins in malignant salivary gland tumors.,Archives of oral biology,2021,Felix FA; da Silva LP; Lopes MLDS; Sobral APV; Freitas RA; de Souza LB; Barboza CAG,"OBJECTIVE: To analyze the immunohistochemical expression of the base excision repair (BER) proteins apurinic/apyrimidinic endonuclease 1 (APE1) and X-ray repair cross-complementing protein 1 (XRCC1) and nucleotide excision repair (NER) protein xeroderma pigmentosum group F (XPF) in malignant salivary gland tumors (MSGTs). DESIGN: Sixty-two cases of MSGTs were selected, including 14 acinic cell carcinomas (AcCC), 15 polymorphous adenocarcinomas (PAC), 16 adenoid cystic carcinomas (ACC), and 17 mucoepidermoid carcinomas (MEC). The specimens were submitted to quantitative immunohistochemical analysis. RESULTS: All MSGTs exhibited nuclear or nucleo-cytoplasmic immunostaining of APE1, XRCC1 and XPF, with a high percentage of positive cells (median = 78.31, 70.48 and 75.46, respectively). XRCC1 expression was higher in PAC compared to MEC (p = 0.032). Nuclear APE1 immunostaining was significantly higher than nucleo-cytoplasmic expression in the selected MSGTs (p < 0.0001). APE1 expression was significantly associated with T1-T2 tumors in ACC (p = 0.006). Increased expression of XPF was associated with age older than 60 years in MEC (p = 0.015) and with ACC involving the minor salivary gland (p = 0.012), while a lower expression was found in AcCC and ACC patients treated by surgery combined with adjuvant therapy (p = 0.036 and p = 0.020, respectively). Low expression of XRCC1 in the nucleus (p = 0.028) and concomitant expression of this protein in the nucleus/cytoplasm were associated with a lower overall 5-year survival rate (p = 0.017). CONCLUSIONS: This study showed that BER and NER proteins evaluated are highly expressed in the MSGTs studied, indicating mechanisms of genotoxic control in these tumors. In addition, the dysregulation of XRCC1 expression was a prognostic predictor in MSGTs analyzed."
27828573,10.1590/1413-812320152111.19472015,"Inequality in the characteristics of the institutionalized elderly in the city of Natal, Brazil.",Ciencia & saude coletiva,2016,Pinheiro NC; Holanda VC; Melo LA; Medeiros AK; Lima KC,"The aim of this study was to describe the differences in the profile of elderly residents in non-profit and for-profit Long-Term Residential Institutions for the Elderly (ILPI). We visited 12 ILPIs in the city of Natal, Rio Grande do Norte. Six of them were non-profits housing 260 elderly, and six were for-profit institutions, housing 127 elderly. The unequal characteristics of the elderly in these facilities are based on socioeconomic data and the reason for institutionalization. The data was submitted to Chi-squared or Student's t, with a significance level of 5%. Illiterate, single, black or brown, individuals with no retirement/pension or healthcare plan, no children and no visitors who purchase something outside the institution with their own money are associated with non-profit ILPIs. When analyzing the reasons for institutionalization, family conflict, abandonment and being homeless were associated with the elderly institutionalized in non-profit ILPIs. The main reason for the elderly institutionalized in for-profit ILPIs was ""being ill"". The conditions of the elderly in non-profit ILPIs were poorer, reflecting the social inequality these subjects experienced throughout their lifetime."
28488063,10.1007/s10006-017-0629-y,Subgemmal neurogenous plaque of the tongue: a report of three cases.,Oral and maxillofacial surgery,2017,Gonzaga AKG; Moreira DGL; Sena DAC; Lopes MLDS; de Souza LB; Queiroz LMG,"Subgemmal neurogenous plaque (SNP) is a biphasic neural structure associated with the taste buds. Clinically, SNP usually presents as an asymptomatic, normally colored, papule located in the posterior lateral border of the tongue. Accurate diagnosis is based only on histopathological examination, which shows a superficial neurofibroma-like pattern and a neuroma-like in the deep zone. Appropriate recognition of clinical and morphological aspects of SNPs can avoid their misdiagnosis as neural neoplasms. We report three cases of SNP with detailed clinical, histopathological, and immunohistochemical features."
26742000,10.1016/j.archoralbio.2015.12.004,Association of the XPD and XRCC3 gene polymorphisms with oral squamous cell carcinoma in a Northeastern Brazilian population: A pilot study.,Archives of oral biology,2016,dos Santos Pereira J; Fontes FL; de Medeiros SR; de Almeida Freitas R; de Souza LB; da Costa Miguel MC,"OBJECTIVE: to evaluate the association between XPD and XRCC3 polymorphisms and oral squamous cell carcinoma (OSCC). DESIGN: the sample consisted of 54 cases of OSCC and 40 cases of inflammatory fibrous hyperplasia (IFH). Genotypes were determined by the polymerase chain reaction-restriction fragment length polymorphism (PCR-RFLP) method. RESULTS: XPD-Lys/Gln was more common in IFH (n=28; 70%) than in OSCC (n=24; 44.4%) (OR: 0.3; p<0.05). XPD-Gln was more frequent in high-grade lesions (0.48) than in low-grade lesions (0.21) (OR: 3.4; p<0.05). The Gln/Gln genotype was associated with III and IV clinical stages (OR: 0.07; p<0.05). XRCC3-Met was more frequent in OSCC (0.49) than in IFH (0.35) (OR: 2.6; p<0.05). The Met/Met genotype was associated with the presence of metastases (OR: 8.1; p<0.05) and with III and IV clinical stages (OR: 0.07; p<0.05). CONCLUSIONS: in this sample, the frequency of XPD-Gln in IFH suggests that this variant may protect against OSCC. The presence of the XRCC3-Met allele seems to contribute to the development of OSCC, metastases and more advanced stages in these lesions."
22984917,10.1111/j.1532-849X.2012.00927.x,Complete denture occlusion: an evidence-based approach.,Journal of prosthodontics : official journal of the American College of Prosthodontists,2013,Farias-Neto A; Carreiro Ada F,"PURPOSE: This study involved an extensive search for randomized controlled clinical trials comparing bilateral balanced and canine-guided dentures, and questioned whether a bilateral balanced occlusion is imperative for successful denture treatment. MATERIALS AND METHODS: Studies were identified by searching electronic databases (PubMed/MEDLINE, ISI Web of Science, LILACS, and BBD). The keywords ""denture"" and ""occlusion"" were used. The minimum inclusion requirements were (1) randomized controlled trials with patients of any age wearing both maxillary and mandibular conventional complete dentures (CDs), (2) comparison between bilateral balanced and canine-guided dentures, and (3) assessment of masticatory function and/or patients' satisfaction. RESULTS: The search resulted in the identification of 5166 articles. Subsequently, 5156 articles were excluded on the basis of title and abstract. By the end of the search phase, seven randomized controlled trials were considered eligible. CONCLUSIONS: Current scientific evidence suggests that bilateral balanced occlusion is not imperative for successful treatment with conventional CDs in average patients. More studies are necessary to identify if specific clinical conditions may benefit from a balanced occlusion."
27737357,10.1590/1807-3107BOR-2016.vol30.0103,Bacterial diversity of symptomatic primary endodontic infection by clonal analysis.,Brazilian oral research,2016,Nóbrega LM; Montagner F; Ribeiro AC; Mayer MA; Gomes BP,"The aim of this study was to explore the bacterial diversity of 10 root canals with acute apical abscess using clonal analysis. Samples were collected from 10 patients and submitted to bacterial DNA isolation, 16S rRNA gene amplification, cloning, and sequencing. A bacterial genomic library was constructed and bacterial diversity was estimated. The mean number of taxa per canal was 15, ranging from 11 to 21. A total of 689 clones were analyzed and 76 phylotypes identified, of which 47 (61.84%) were different species and 29 (38.15%) were taxa reported as yet-uncultivable or as yet-uncharacterized species. Prevotella spp., Fusobacterium nucleatum, Filifactor alocis, and Peptostreptococcus stomatis were the most frequently detected species, followed by Dialister invisus, Phocaeicola abscessus, the uncharacterized Lachnospiraceae oral clone, Porphyromonas spp., and Parvimonas micra. Eight phyla were detected and the most frequently identified taxa belonged to the phylum Firmicutes (43.5%), followed by Bacteroidetes (22.5%) and Proteobacteria (13.2%). No species was detected in all studied samples and some species were identified in only one case. It was concluded that acute primary endodontic infection is characterized by wide bacterial diversity and a high intersubject variability was observed. Anaerobic Gram-negative bacteria belonging to the phylum Firmicutes, followed by Bacteroidetes, were the most frequently detected microorganisms."
21803234,10.1016/j.ajodo.2010.11.022,Force system evaluation of symmetrical beta-titanium T-loop springs preactivated by curvature and concentrated bends.,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",2011,Caldas SG; Martins RP; Galvão MR; Vieira CI; Martins LP,"INTRODUCTION: The objective of this research was to compare the effect of preactivation on the force system of beta-titanium T-loop springs (TLSs). METHODS: Twenty TLSs with dimensions of 6 × 10 mm, of 0.017 × 0.025-in beta-titanium alloy, were randomly divided into 2 groups according to their preactivation. By using a moment transducer coupled to a digital extensometer indicator adapted to a testing machine, the amounts of horizontal force and moment produced were recorded at every 0.5 mm of deactivation from 5 mm of the initial activation in an interbracket distance of 23 mm. The moment-to-force ratio, the ""neutral position"" and the load-deflection ratio were also calculated. RESULTS: TLSs preactivated by curvature delivered horizontal forces significantly lower than those preactivated by concentrated bends. No differences were found in relation to the moments produced throughout the deactivation of both groups. The moment-to-force ratios were systematically higher on the TLSs preactivated by curvature than those preactivated by concentrated bends, except on 5 mm of activation. Significant differences were found in the load-deflection rates and ""neutral position."" CONCLUSIONS: The TLSs preactivated by curvature delivered lower horizontal forces and higher moment-to-force and load-deflection ratios than did those preactivated by concentrated bends."
32159677,10.1590/1413-81232020253.01202018,"[Dietary patterns of the elderly in Brazil: National Heath Survey, 2013].",Ciencia & saude coletiva,2020,Pereira IFDS; Vale D; Bezerra MS; Lima KC; Roncalli AG; Lyra CO,"The study sought to identify dietary patterns and associated factors of elderly Brazilians. It involved a cross-sectional study based on data from the National Health Survey (""PNS/2013"") of 11,177 elderly individuals, whose dietary patterns were identified by cluster analysis. Poisson regression with robust variance was used for the analysis of associated factors. The cluster analysis produced 2 clusters of dietary patterns, one healthy (55.4%), with greater consumption of raw and cooked vegetables and legumes, chicken, fruits, natural fruit juices and milk. And an unhealthy cluster (44.6%), with greater consumption of red meat and soft drinks or artificial juices. The prevalence of the healthy dietary pattern was greater for females (PR = 1.32, 95% CI 1.25- 1.40), Caucasian (PR = 1.09, 95% CI 1.02-1.15), elderly individuals with graduate or post-graduate degree (PR=1.56, 95% CI 1.41-1.72), living in the Southeast (PR = 1.54, 95% CI, 1.33-1.79) and South (PR = 1.51, 95% CI 1.30-1.76), non-smokers (PR = 1.19, 95% CI, 1.07-1.31) and physically active (PR = 1.24, 95% CI, 1.17-1.32). These results indicated an association between better social conditions and beneficial life habits with the consumption of healthy foods, reinforcing the hypothesis of social determination and the coexistence of health behaviors."
40681422,10.1016/j.oooo.2025.06.015,Aneurysmal bone cysts in gnathic bones: clinicopathological profile through a multicenter study and literature review.,"Oral surgery, oral medicine, oral pathology and oral radiology",2025,da Silva Cavalcanti JF; da Silva WR; Faria CAB; Nunes BMMB; Colares DF; de Carvalho MCM; Fujimoto LBM; Canto LCS; Abreu LG; Drumond VZ; Caldeira PC; Sousa-Neto SS; Arantes DAC; Pereira EVS; Carneiro SCAS; de França GM; de Souza LB; Libório-Kimura TN; Mesquita RA; de Mendonça EF; Sobral APV,"OBJECTIVE: To analyze the clinicopathological profile of aneurysmal bone cysts (ABCs) in gnathic bones in a Brazilian population through a multicenter study and literature review. STUDY DESIGN: A retrospective study across six Brazilian centers for oral and maxillofacial pathology collected data on sex, age, pain, location, radiographic features, and associated lesions. A literature review was performed using four databases. RESULTS: Among 55,068 biopsies of oral and maxillofacial lesions, 26 cases were diagnosed as ABCs. Most patients were females, with a mean age of 24.7 years. The mandible was the most affected site, and pain was absent in 76.9% of cases. A multilocular radiographic pattern with bone expansion was observed in 76.92% of cases. It was associated with ossifying fibroma and fibrous dysplasia in 11.54% and 3.85% of cases. The review included 35 articles and 59 cases, with 52.54% female patients, a mean age of 18.8 years, and mandibular involvement in 76.27%. Multilocularity with expansion occurred in 61.02%, and pain in 61.02%. CONCLUSIONS: This multicenter study provides the first epidemiological estimate of gnathic ABCs (0.047%) and suggests a female and young adult predominance."
37188340,10.4269/ajtmh.22-0449,Spatial Distribution of Gestational Syphilis in Brazil: Socioeconomic and Health Services Inequalities.,The American journal of tropical medicine and hygiene,2023,da Costa Dantas J; Marinho CDSR; Pinheiro YT; Fernandes Ferreira MÂ; Rosendo da Silva RA,"We aimed to analyze the spatial distribution of gestational syphilis from 2008 to 2018 in Brazil and identify correlations with socioeconomic and health-care aspects. This ecological study used municipalities of Brazil as the unit of analysis. Data collection took place between June and July 2021. Data were extracted for 2008 to 2018, and information on the epidemic in animals in the country was obtained from data records. The gestational syphilis detection rate was the dependent variable, and the independent variables were the Municipal Human Development Index, the proportion of doctors per inhabitant in primary health care (PHC), and the percentage of PHC coverage. The data went through an aggregation process in 482 immediate regions of urban articulation. The global Moran's I index and the local spatial correlation indicator detected territorial clusters using GeoDa software. The gestational syphilis detection rate was distributed unevenly in the immediate regions of urban articulation between 2008 and 2018, and presented a negative spatial correlation with the Municipal Human Development Index (Moran's I = -0.243, P ≤ 0.05), the percentage of PHC coverage (Moran's I = -0.163, P ≤ 0.05), and the proportion of doctors per inhabitants in PHC (Moran's I = -0.164, P ≤ 0.05). Socioeconomic inequalities, mainly related to the availability of human resources and access to health services, are correlated with the spatial distribution of gestational syphilis in Brazil. Investments in social policies and strengthening of PHC are essential for controlling gestational syphilis."
34448074,10.1007/s00784-021-04068-3,"Effect of finishing/polishing techniques and aging on topography, C. albicans adherence, and flexural strength of ultra-translucent zirconia: an in situ study.",Clinical oral investigations,2022,de Carvalho IHG; da Silva NR; Vila-Nova TEL; de Fatima Dantas de Almeida L; Veríssimo AH; de Melo RM; Zhang Y; de Assunção E Souza RO,"OBJECTIVE: To investigate the influence of different finishing/polishing techniques and in situ aging on the flexural strength (σ), surface roughness, and Candida albicans adherence of 5 mol% yttria-stabilized zirconia (ultratranslucent zirconia). MATERIALS AND METHODS: A total of 120 zirconia bars (Prettau Anterior, Zirkonzahn) with dimensions of 8 × 2 × 0.5 mm were divided into 8 groups (n = 15) according to two factors: ""in situ aging"" (non-aged and aged (A)) and ""finishing/polishing"" (control (C), diamond rubber polishing (R), coarse grit diamond bur abrasion (B), and coarse grit diamond bur abrasion + diamond rubber polishing (BR)). Half of the samples from each group were subjected to a 60-day in situ aging by fixing the bars into cavities prepared in the posterior region of the base of complete or partial dentures of 15 patients. The samples were then subjected to the mini flexural (σ) test (1 mm/min). A total of 40 zirconia blocks (5 × 5 × 2 mm) were prepared and subjected to roughness (Ra) analyses and fungal adherence and complementary analyses (X-ray diffraction (XRD) and scanning electron microscopy (SEM)). The data of mean σ (MPa) and roughness Ra (μm) were statistically analyzed by two-way and one-way ANOVA, respectively, and Tukey's test. The Weibull analysis was performed for σ data. The fungal adhesion (Log CFU/mL) data were analyzed by Kruskal-Wallis tests. RESULTS: For flexural resistance, the ""finishing/polishing"" factor was statistically significant (P = 0.0001); however, the ""in situ aging"" factor (P = 0.4458) was not significant. The non-aged (507.3 ± 115.7 MPa) and aged (487.6 ± 118.4 MPa) rubber polishing groups exhibited higher mean σ than the other techniques. The non-aged (260.2 ± 43.3 MPa) and aged (270.1 ± 48.8 MPa) bur abrasion groups presented lower σ. The coarse-grit diamond bur abrasion group (1.82 ± 0.61 µm) presented the highest roughness value (P = 0.001). Cell adhesion was not different among groups (P = 0.053). Group B presented the most irregular surface and the highest roughness Ra of 0.61 m. CONCLUSIONS: The finishing of ultratranslucent zirconia might be preferably done with a diamond rubber polisher. Moreover, the protocols used did not interfere with Candida albicans adhesion. CLINICAL RELEVANCE: Coarse-grit diamond burs might be avoided for finishing ultratranslucent monolithic zirconia, which might be preferably performed with a diamond rubber polisher."
